Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
349.0,20.95616438356137,1.0,1.0,1.0,100.0
350.0,20.958904109588765,1.0,1.0,1.0,100.0
351.0,20.96164383561616,1.0,1.0,1.0,100.0
352.0,20.964383561643558,1.0,1.0,1.0,100.0
353.0,20.967123287670955,1.0,1.0,1.0,100.0
354.0,20.96986301369835,1.0,1.0,1.0,100.0
355.0,20.972602739725748,1.0,1.0,1.0,100.0
356.0,20.975342465753144,1.0,1.0,1.0,100.0
357.0,20.97808219178054,1.0,1.0,1.0,100.0
358.0,20.980821917807937,1.0,1.0,1.0,100.0
359.0,20.983561643835333,1.0,1.0,1.0,100.0
360.0,20.98630136986273,1.0,1.0,1.0,100.0
361.0,20.989041095890126,1.0,1.0,1.0,100.0
362.0,20.991780821917523,1.0,1.0,1.0,100.0
363.0,20.99452054794492,1.0,1.0,1.0,100.0
364.0,20.997260273972316,1.0,1.0,1.0,100.0
365.0,20.999999999999712,1.0,1.0,1.0,100.0
366.0,21.00273972602711,1.0,1.0,1.0,100.0
367.0,21.005479452054505,1.0,1.0,1.0,100.0
368.0,21.0082191780819,1.0,1.0,1.0,100.0
369.0,21.010958904109298,1.0,1.0,1.0,100.0
370.0,21.013698630136695,1.0,1.0,1.0,100.0
371.0,21.01643835616409,1.0,1.0,1.0,100.0
372.0,21.019178082191488,1.0,1.0,1.0,100.0
373.0,21.021917808218884,1.0,1.0,1.0,100.0
374.0,21.02465753424628,1.0,1.0,1.0,100.0
375.0,21.027397260273677,1.0,1.0,1.0,100.0
376.0,21.030136986301073,1.0,1.0,1.0,100.0
377.0,21.03287671232847,1.0,1.0,1.0,100.0
378.0,21.035616438355866,1.0,1.0,1.0,100.0
379.0,21.038356164383263,1.0,1.0,1.0,100.0
380.0,21.04109589041066,1.0,1.0,1.0,100.0
381.0,21.043835616438056,1.0,1.0,1.0,100.0
382.0,21.046575342465452,1.0,1.0,1.0,100.0
383.0,21.04931506849285,1.0,1.0,1.0,100.0
384.0,21.052054794520245,1.0,1.0,1.0,100.0
385.0,21.05479452054764,1.0,1.0,1.0,100.0
386.0,21.057534246575038,1.0,1.0,1.0,100.0
387.0,21.060273972602435,1.0,1.0,1.0,100.0
388.0,21.06301369862983,1.0,1.0,1.0,100.0
389.0,21.065753424657228,1.0,1.0,1.0,100.0
390.0,21.068493150684624,1.0,1.0,1.0,100.0
391.0,21.07123287671202,1.0,1.0,1.0,100.0
392.0,21.073972602739417,1.0,1.0,1.0,100.0
393.0,21.076712328766813,1.0,1.0,1.0,100.0
394.0,21.07945205479421,1.0,1.0,1.0,100.0
395.0,21.082191780821606,1.0,1.0,1.0,100.0
396.0,21.084931506849003,1.0,1.0,1.0,100.0
397.0,21.0876712328764,1.0,1.0,1.0,100.0
398.0,21.090410958903796,1.0,1.0,1.0,100.0
399.0,21.093150684931192,1.0,1.0,1.0,100.0
400.0,21.09589041095859,1.0,1.0,1.0,100.0
401.0,21.098630136985985,1.0,1.0,1.0,100.0
402.0,21.10136986301338,1.0,1.0,1.0,100.0
403.0,21.104109589040778,1.0,1.0,1.0,100.0
404.0,21.106849315068175,1.0,1.0,1.0,100.0
405.0,21.10958904109557,1.0,1.0,1.0,100.0
406.0,21.112328767122968,1.0,1.0,1.0,100.0
407.0,21.115068493150364,1.0,1.0,1.0,100.0
408.0,21.11780821917776,1.0,1.0,1.0,100.0
409.0,21.120547945205157,1.0,1.0,1.0,100.0
410.0,21.123287671232553,1.0,1.0,1.0,100.0
411.0,21.12602739725995,1.0,1.0,1.0,100.0
412.0,21.128767123287346,1.0,1.0,1.0,100.0
413.0,21.131506849314743,1.0,1.0,1.0,100.0
414.0,21.13424657534214,1.0,1.0,1.0,100.0
415.0,21.136986301369536,1.0,1.0,1.0,100.0
416.0,21.139726027396932,1.0,1.0,1.0,100.0
417.0,21.14246575342433,1.0,1.0,1.0,100.0
418.0,21.145205479451725,1.0,1.0,1.0,100.0
419.0,21.14794520547912,1.0,1.0,1.0,100.0
420.0,21.150684931506518,1.0,1.0,1.0,100.0
421.0,21.153424657533915,1.0,1.0,1.0,100.0
422.0,21.15616438356131,1.0,1.0,1.0,100.0
423.0,21.158904109588708,1.0,1.0,1.0,100.0
424.0,21.161643835616104,1.0,1.0,1.0,100.0
425.0,21.1643835616435,1.0,1.0,1.0,100.0
426.0,21.167123287670897,1.0,1.0,1.0,100.0
427.0,21.169863013698293,1.0,1.0,1.0,100.0
428.0,21.17260273972569,1.0,1.0,1.0,100.0
429.0,21.175342465753086,1.0,1.0,1.0,100.0
430.0,21.178082191780483,1.0,1.0,1.0,100.0
431.0,21.18082191780788,1.0,1.0,1.0,100.0
432.0,21.183561643835276,1.0,1.0,1.0,100.0
433.0,21.186301369862672,1.0,1.0,1.0,100.0
434.0,21.18904109589007,1.0,1.0,1.0,100.0
435.0,21.191780821917465,1.0,1.0,1.0,100.0
436.0,21.19452054794486,1.0,1.0,1.0,100.0
437.0,21.197260273972258,1.0,1.0,1.0,100.0
438.0,21.199999999999655,1.0,1.0,1.0,100.0
439.0,21.20273972602705,1.0,1.0,1.0,100.0
440.0,21.205479452054448,1.0,1.0,1.0,100.0
441.0,21.208219178081844,1.0,1.0,1.0,100.0
442.0,21.21095890410924,1.0,1.0,1.0,100.0
443.0,21.213698630136637,1.0,1.0,1.0,100.0
444.0,21.216438356164034,1.0,1.0,1.0,100.0
445.0,21.21917808219143,1.0,1.0,1.0,100.0
446.0,21.221917808218826,1.0,1.0,1.0,100.0
447.0,21.224657534246223,1.0,1.0,1.0,100.0
448.0,21.22739726027362,1.0,1.0,1.0,100.0
449.0,21.230136986301016,1.0,1.0,1.0,100.0
