Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
245.0,18.671232876712136,1.0,1.0,1.0,89.35105640706907
246.0,18.673972602739532,1.0,1.0,1.0,89.4184416087134
247.0,18.67671232876693,1.0,1.0,1.0,89.48507432638654
248.0,18.679452054794325,1.0,1.0,1.0,89.55260248804464
249.0,18.68219178082172,1.0,1.0,1.0,89.61888447200208
250.0,18.684931506849118,1.0,1.0,1.0,89.68530443987093
251.0,18.687671232876514,1.0,1.0,1.0,89.7522455915827
252.0,18.69041095890391,1.0,1.0,1.0,89.81872917689178
253.0,18.693150684931307,1.0,1.0,1.0,89.88680522494386
254.0,18.695890410958704,1.0,1.0,1.0,89.95316551795244
255.0,18.6986301369861,1.0,1.0,1.0,90.02085317776968
256.0,18.701369863013497,1.0,1.0,1.0,90.08599339664325
257.0,18.704109589040893,1.0,1.0,1.0,90.15197528790327
258.0,18.70684931506829,1.0,1.0,1.0,90.2187323079102
259.0,18.709589041095686,1.0,1.0,1.0,90.28716562944352
260.0,18.712328767123083,1.0,1.0,1.0,90.3539190528898
261.0,18.71506849315048,1.0,1.0,1.0,90.4223166698944
262.0,18.717808219177876,1.0,1.0,1.0,90.48799974889923
263.0,18.720547945205272,1.0,1.0,1.0,90.55570130722361
264.0,18.72328767123267,1.0,1.0,1.0,90.62147401405986
265.0,18.726027397260065,1.0,1.0,1.0,90.68877764063195
266.0,18.72876712328746,1.0,1.0,1.0,90.75604235663484
267.0,18.731506849314858,1.0,1.0,1.0,90.82171986665259
268.0,18.734246575342254,1.0,1.0,1.0,90.88737192777467
269.0,18.73698630136965,1.0,1.0,1.0,90.95422984465029
270.0,18.739726027397047,1.0,1.0,1.0,91.02197131203019
271.0,18.742465753424444,1.0,1.0,1.0,91.089218360347
272.0,18.74520547945184,1.0,1.0,1.0,91.15679744777407
273.0,18.747945205479237,1.0,1.0,1.0,91.22382173096746
274.0,18.750684931506633,1.0,1.0,1.0,91.29102313667921
275.0,18.75342465753403,1.0,1.0,1.0,91.35698002794716
276.0,18.756164383561426,1.0,1.0,1.0,91.42495333829626
277.0,18.758904109588823,1.0,1.0,1.0,91.49147698561136
278.0,18.76164383561622,1.0,1.0,1.0,91.55886189085334
279.0,18.764383561643616,1.0,1.0,1.0,91.62519117543353
280.0,18.767123287671012,1.0,1.0,1.0,91.69272105268796
281.0,18.76986301369841,1.0,1.0,1.0,91.7587322060985
282.0,18.772602739725805,1.0,1.0,1.0,91.82573998695358
283.0,18.7753424657532,1.0,1.0,1.0,91.89186458456983
284.0,18.778082191780598,1.0,1.0,1.0,91.9591165393584
285.0,18.780821917807994,1.0,1.0,1.0,92.02592452421405
286.0,18.78356164383539,1.0,1.0,1.0,92.09289384518692
287.0,18.786301369862787,1.0,1.0,1.0,92.16072835862269
288.0,18.789041095890184,1.0,1.0,1.0,92.22765389687689
289.0,18.79178082191758,1.0,1.0,1.0,92.29390338787991
290.0,18.794520547944977,1.0,1.0,1.0,92.36070783647351
291.0,18.797260273972373,1.0,1.0,1.0,92.42841961434702
